filename,alt_pl,source_page,sekcja/klik,uwagi_prawne
hero_pool.jpg,"Basen przy plaży, Miran Pirovac",https://www.expedia.com/Pirovac-Hotels-Hotel-Miran.h2235607.Hotel-Information,"Photo gallery → Pool/Beach","Użyj po zgodzie właściciela obiektu/Expedia."
waterfront_pier.jpg,"Pomost i nabrzeże ośrodka",https://www.expedia.com/Pirovac-Hotels-Hotel-Miran.h2235607.Hotel-Information,"Photo gallery → Beachfront","Zgoda wymagana."
bungalows_exterior.jpg,"Domki/bungalowy wśród sosen",https://www.expedia.com/Pirovac-Hotels-Rivijera-Hotel-Miran-Pirovac.h13270314.Hotel-Information,"Photo gallery → Exterior","Zgoda wymagana."
restaurant_deck.jpg,"Taras restauracji przy morzu",https://www.hotels.com/ho274184/hotel-miran-pirovac-croatia/,"Photos → Restaurant/Bar","Zgoda wymagana."
room_double.jpg,"Pokój dwuosobowy, balkon",https://www.booking.com/hotel/hr/miran-pirovac.html,"Galeria zdjęć → Pokoje","Zgoda Booking/obiekt."
aerial_grounds.jpg,"Ujęcie z góry: teren i morze",https://www.booking.com/hotel/hr/miran-pirovac.html,"Galeria zdjęć → Obiekt/Okolica","Zgoda Booking/obiekt."
beach_sunbeds.jpg,"Plaża i leżaki",https://www.expedia.com/Pirovac-Hotels-Hotel-Miran.h2235607.Hotel-Information,"Photo gallery → Beach","Zgoda wymagana."
pool_sunset.jpg,"Zachód słońca nad basenem",https://www.hotels.com/ho274184/hotel-miran-pirovac-croatia/,"Photos → Pool","Zgoda wymagana."
mobile_home_terrace.jpg,"Mobilny domek: taras",https://www.booking.com/hotel/hr/mediteran-travel-mobile-homes-miran-pirovac.html,"Galeria zdjęć → Mobile Homes","Zgoda Booking/partner."
camp_pitches.jpg,"Parcele kempingowe pod sosnami",https://avtokampi.si/campsites/camping-miran,"Galerija/Slike","Zgoda portalu/obiekt."
facebook_beach_01.jpg,"Plaża: krystaliczna woda",https://www.facebook.com/MiranResortPirovac/photos,"Zakładka Photos/Albumy","Zapytaj właściciela profilu."
facebook_pool_01.jpg,"Basen hotelowy, strefa leżaków",https://www.facebook.com/MiranResortPirovac/,"Photos","Zapytaj właściciela profilu."
facebook_pier_01.jpg,"Pomost i zatoka, perspektywa rano",https://www.facebook.com/people/Hotel-Miran-Pirovac/61565690803667/,"Photos","Zapytaj właściciela profilu."
instagram_beach_bar.jpg,"Beach bar i przekąski",https://www.instagram.com/hotel.miran/,"Otwórz post → Zapisz obraz","Zapytaj właściciela profilu."
promo_earlybird.jpg,"Grafika promo/early booking",https://www.facebook.com/MiranResortPirovac/photos/a.1858978264118518/4769428039740178/,"Otwórz post → Zapisz","Zapytaj właściciela profilu."
video_cover.jpg,"Kadr z wideo: przystań i plaża",https://www.facebook.com/MiranResortPirovac/videos/2150197418329933/,"Otwórz wideo → Zrzut kadru","Użyj jako kadr tylko po zgodzie."
